Part;Value;Device;Package;Description;ALLIED_NUMBER;ALLIED_PRICE-STOCK;AVAILABILITY;CREATED_BY;DESCRIPTION;DIGIKEY_PART_NUMBER;HEIGHT;MANUFACTURER;MANUFACTURER_NAME;MANUFACTURER_PART_NUMBER;MF;MOUSER_PART_NUMBER;MOUSER_PRICE-STOCK;MP;MPN;OC_FARNELL;OC_NEWARK;PACKAGE;POPULARITY;PRICE;PROD_ID;RS_PART_NUMBER;RS_PRICE-STOCK;SPICEPREFIX;TP_SIGNAL_NAME;VALUE
R42;120k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R43;120k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R51;10k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R52;10k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
R53;10k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
RB1;22r 0.3W 1%;R-EU_R1210;R1210;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;0;;;;;R;;
RB1Q;22r;R-EU_R1210;R1210;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;0;;;;;R;;
RB1_;22r 0.5W;R-EU_0207/7;0207/7;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;46;;;;;R;;
RB2;22r;R-EU_R1210;R1210;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;0;;;;;R;;
RB2Q;22r;R-EU_R1210;R1210;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;0;;;;;R;;
RB2_;22r;R-EU_0207/7;0207/7;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;46;;;;;R;;
RB3;22r;R-EU_R1210;R1210;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;0;;;;;R;;
RB3Q;22r;R-EU_R1210;R1210;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;0;;;;;R;;
RB3_;22r;R-EU_0207/7;0207/7;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;46;;;;;R;;
RB4;22r;R-EU_R1210;R1210;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;0;;;;;R;;
RB4Q;22r;R-EU_R1210;R1210;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;0;;;;;R;;
RB4_;22r;R-EU_0207/7;0207/7;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;46;;;;;R;;
RB5;22r;R-EU_R1210;R1210;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;0;;;;;R;;
RB5Q;22r;R-EU_R1210;R1210;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;0;;;;;R;;
RB5_;22r;R-EU_0207/7;0207/7;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;46;;;;;R;;
